review_id,spot_name,city,province,travel_type,season,travel_month,trip_days,cost_cny_per_person,is_revisit,rating,review_text,recommend_index_raw,helpful_votes
TR000001,上天竺法喜讲寺,杭州,浙江,亲子出游,夏季,4,1,471,否,4,4月去的上天竺法喜讲寺，情侣出行。地点在杭州，自驾停车需要提前规划，现场人流量适中。这次玩了1天，人均花费约471元，夜景表现很好。景点印象：整体环境还算干净整体感受是还蛮满意，可以安排半天到一天。二刷意愿：否。,0%,53
TR000002,党家村,渭南,陕西,周末短途,秋季,7,2,293,否,5,7月去的党家村，情侣出行。地点在渭南，打车比较省心，现场人流量适中。这次玩了2天，人均花费约293元，氛围感不错。景点印象：“东方人类古代传统居住村寨的活化石”，是国内迄今为止保存最好的明清建筑村寨。整体感受是特别满意，很推荐。二刷意愿：否。,0%,77
TR000003,伟星管运粮湖(西堤路店),潜江,湖北,周末短途,夏季,4,1,563,否,4,4月去的伟星管运粮湖(西堤路店)，和家人出行。地点在潜江，公交换乘方便，现场人流量适中。这次玩了1天，人均花费约563元，拍照很出片。景点印象：整体环境还算干净整体感受是还蛮满意，推荐来看看。二刷意愿：否。,0%,54
TR000004,三门海,河池,广西,城市漫游,秋季,8,1,862,否,5,8月去的三门海，情侣出行。地点在河池，地铁到达方便，现场人不算多。这次玩了1天，人均花费约862元，氛围感不错。景点印象：景点本身有一定特色整体感受是特别满意，值得专门打卡。二刷意愿：否。,24%,63
TR000005,汉兵马俑博物馆,徐州,江苏,文化打卡,夏季,5,3,908,是,4,5月去的汉兵马俑博物馆，情侣出行。地点在徐州，自驾停车需要提前规划，现场人流量适中。这次玩了3天，人均花费约908元，历史文化气息浓。景点印象：陈列的汉代兵器、生活品、兵马俑等，既是艺术品也能看到汉代“视死如生”的丧葬制度。整体感受是还蛮满意，可以安排半天到一天。二刷意愿：是。,9%,100
TR000006,古浮桥,赣州,江西,文化打卡,春季,2,1,634,是,5,2月去的古浮桥，一个人出行。地点在赣州，打车比较省心，现场高峰时段比较拥挤。这次玩了1天，人均花费约634元，夜景表现很好。景点印象：景点本身有一定特色整体感受是超出预期，值得专门打卡。二刷意愿：是。,20%,127
TR000007,勐卧总佛寺,普洱,云南,周末短途,秋季,6,4,1457,是,4,6月去的勐卧总佛寺，情侣出行。地点在普洱，自驾停车需要提前规划，现场高峰时段比较拥挤。这次玩了4天，人均花费约1457元，历史文化气息浓。景点印象：整体环境还算干净整体感受是体验挺好，推荐来看看。二刷意愿：是。,0%,40
TR000008,稻城三神山,甘孜藏族自治州,四川,深度游,冬季,11,2,663,是,5,11月去的稻城三神山，和朋友出行。地点在甘孜藏族自治州，打车比较省心，现场人不算多。这次玩了2天，人均花费约663元，氛围感不错。景点印象：周边配套比较齐全整体感受是特别满意，以后还会来。二刷意愿：是。,1%,70
TR000009,墨江北回归线标志园,普洱,云南,亲子出游,秋季,8,1,666,是,5,8月去的墨江北回归线标志园，一个人出行。地点在普洱，打车比较省心，现场游客较多。这次玩了1天，人均花费约666元，历史文化气息浓。景点印象：周边配套比较齐全整体感受是挺惊喜，值得专门打卡。二刷意愿：是。,17%,75
TR000010,徐州城墙博物馆,徐州,江苏,文化打卡,春季,2,4,1174,是,4,2月去的徐州城墙博物馆，和朋友出行。地点在徐州，自驾停车需要提前规划，现场人不算多。这次玩了4天，人均花费约1174元，夜景表现很好。景点印象：整体环境还算干净整体感受是体验挺好，可以安排半天到一天。二刷意愿：是。,0%,63
TR000011,香溪洞公园,安康,陕西,文化打卡,夏季,4,1,736,否,5,4月去的香溪洞公园，和家人出行。地点在安康，打车比较省心，现场高峰时段比较拥挤。这次玩了1天，人均花费约736元，夜景表现很好。景点印象：整体环境还算干净整体感受是特别满意，以后还会来。二刷意愿：否。,12%,75
TR000012,赣州市博物馆,赣州,江西,拍照旅行,春季,12,3,1383,是,5,12月去的赣州市博物馆，和家人出行。地点在赣州，公交换乘方便，现场游客较多。这次玩了3天，人均花费约1383元，氛围感不错。景点印象：整体环境还算干净整体感受是超出预期，很推荐。二刷意愿：是。,0%,91
TR000013,榔梅祠,十堰,湖北,城市漫游,秋季,7,2,613,是,5,7月去的榔梅祠，和家人出行。地点在十堰，打车比较省心，现场游客较多。这次玩了2天，人均花费约613元，氛围感不错。景点印象：榔梅祠是当年全山十六座祠庙中最大的一处，供奉着武当拳的创始人的神像。整体感受是挺惊喜，值得专门打卡。二刷意愿：是。,16%,106
